ts_event,best_ofi,multi_ofi,integrated_ofi,cross_asset_ofi
2024-10-21T11:54:29.221064336Z,0,0.0,0.0,0
2024-10-21T11:54:29.223769812Z,2,2.0,3.834713617467202e-05,-7
2024-10-21T11:54:29.225030400Z,3,3.0,5.701907021321145e-05,-186
2024-10-21T11:54:29.712434212Z,0,200.0,0.9724991388567243,54
2024-10-21T11:54:29.764673165Z,0,-200.0,-1.9075944646804979,-1072
2024-10-21T11:54:29.764685027Z,0,410.0,1.1117054114170066,1166
2024-10-21T11:54:36.289427977Z,0,0.0,0.0,-30
2024-10-21T11:54:37.990793976Z,200,200.0,0.0038012713475474302,-350
2024-10-21T11:54:39.124291588Z,-1,-159.0,-1.8601372149870432,-21
2024-10-21T11:54:39.134140341Z,200,209.0,0.8855576732127594,1318
2024-10-21T11:54:41.233181043Z,-3,-3.0,-5.752070426200804e-05,-75
2024-10-21T11:54:41.234620509Z,1,1.0,1.9117505022753156e-05,-39
2024-10-21T11:54:41.235907431Z,-1,-1.0,-1.917356808733601e-05,-7
2024-10-21T11:54:41.235977207Z,-2,-2.0,-3.857337296626301e-05,-48
2024-10-21T11:54:41.238618235Z,2,541.0,1.9545582710355185,-52
2024-10-21T11:54:41.239827037Z,3,3.0,9.5680781235828e-05,1003
2024-10-21T11:54:50.970297264Z,0,0.0,0.0,1053
2024-10-21T11:54:50.970336474Z,0,0.0,0.0,-149
2024-10-21T11:54:53.247532557Z,-3,-3.0,-9.710178293735018e-05,37
2024-10-21T11:54:53.248893986Z,-139,-549.0,-1.1143862608381618,316
2024-10-21T11:54:53.251320969Z,3,3.0,5.735251506825947e-05,96
2024-10-21T11:54:53.252546517Z,2,2.0,3.80127134754743e-05,-11
2024-10-21T11:54:55.503497741Z,0,0.0,0.0,1198
2024-10-21T11:54:55.503541005Z,0,0.0,0.0,100
2024-10-21T11:54:55.551806996Z,0,400.0,0.009539720712719002,-174
2024-10-21T11:54:58.132928650Z,0,0.0,0.0,72
2024-10-21T11:54:58.133944065Z,0,-200.0,-0.0031825524174711474,-352
2024-10-21T11:55:09.125042325Z,0,-37.0,-1.5308890374273885,-300
2024-10-21T11:55:09.125055670Z,0,410.0,1.1085307955392298,1
2024-10-21T11:55:09.160009889Z,0,0.0,0.0,-190
2024-10-21T11:55:09.160051447Z,0,-27.0,-1.1903389459606306,-380
2024-10-21T11:55:13.899151539Z,0,400.0,0.006365104834942295,-85
2024-10-21T11:55:22.016715475Z,0,0.0,0.0,-1072
2024-10-21T11:55:22.060173668Z,0,0.0,0.0,24
2024-10-21T11:55:22.132778490Z,0,400.0,0.006365104834942295,126
2024-10-21T11:55:26.447978801Z,200,200.0,0.0038012713475474302,209
2024-10-21T11:55:30.365285173Z,0,-37.0,-0.864408936348049,-499
2024-10-21T11:55:30.365297270Z,0,410.0,0.44723138111665733,-106
2024-10-21T11:55:30.377046532Z,0,0.0,0.0,-90
2024-10-21T11:55:30.377110788Z,0,30.0,0.7935592973070871,6
2024-10-21T11:55:30.509413271Z,0,27.0,1.1159427618380913,-279
2024-10-21T11:55:30.509458075Z,0,0.0,0.0,149
2024-10-21T11:55:30.559949308Z,0,400.0,0.006365104834942295,-1046
2024-10-21T11:55:31.194923125Z,0,27.0,1.530435787663668,495
2024-10-21T11:55:31.195023714Z,0,0.0,0.0,172
2024-10-21T11:55:34.079261198Z,-139,-139.0,-0.004433209530593364,-534
2024-10-21T11:55:35.302921978Z,-2,-2.0,-6.441563268750324e-05,1048
2024-10-21T11:55:35.303067914Z,-400,-437.0,-1.1076570098775083,-392
2024-10-21T11:55:35.304531207Z,2,429.0,1.5368656270205685,130
2024-10-21T11:55:35.305736838Z,-400,-437.0,-1.1076570098775083,-718
2024-10-21T11:55:35.374212373Z,-27,-52.0,-1.2950775999415258,172
2024-10-21T11:55:35.374226300Z,0,200.0,1.9075944646804979,284
2024-10-21T11:55:38.243671650Z,-201,-359.0,-0.8602565075839537,-197
2024-10-21T11:55:38.243683612Z,-200,-200.0,-0.0030552274382156914,959
2024-10-21T11:55:38.298336797Z,0,200.0,1.1336561390101243,190
2024-10-21T11:55:38.572413983Z,200,409.0,0.09117461576996644,21
2024-10-21T11:55:44.733510979Z,29,66.0,1.1041261987096815,210
2024-10-21T11:55:44.791957886Z,0,-210.0,-1.9080477144442183,1007
2024-10-21T11:55:51.293948230Z,100,501.0,1.0085993339317891,-95
2024-10-21T11:55:51.294217665Z,-200,-409.0,-0.09112430557842088,-521
2024-10-21T11:55:51.365188500Z,0,-15.0,-1.29384668039199,0
2024-10-21T11:55:51.401597368Z,0,200.0,1.9075944646804979,-12
2024-10-21T11:55:53.213328704Z,0,0.0,0.0,26
2024-10-21T11:55:53.213365167Z,0,0.0,0.0,9
2024-10-21T11:55:54.691386316Z,0,200.0,0.9724991388567243,-40
2024-10-21T11:55:54.691398035Z,-201,-359.0,-0.551027439470198,-1207
2024-10-21T11:55:54.691407713Z,0,208.0,0.04800812747284116,39
2024-10-21T11:55:54.745856609Z,0,-200.0,-1.9075944646804979,-92
2024-10-21T11:55:54.745868744Z,0,200.0,1.9075944646804979,-1183
2024-10-21T11:55:54.762492206Z,-10,-225.0,-1.2989383320683294,-1212
2024-10-21T11:55:54.762530320Z,28,238.0,1.9088493017200854,208
2024-10-21T11:55:55.306692496Z,0,-15.0,-1.29384668039199,127
2024-10-21T11:55:55.306705027Z,0,400.0,1.9449982777134487,271
2024-10-21T11:55:55.361082355Z,-200,-358.0,-0.5483617385127678,-181
2024-10-21T11:55:55.706105479Z,0,200.0,1.1336561390101243,-1000
2024-10-21T11:55:58.151580102Z,0,200.0,0.7214175430064428,170
2024-10-21T11:56:07.493655598Z,0,0.0,0.0,-1000
2024-10-21T11:56:10.953492365Z,200,200.0,0.0057102067404205935,257
2024-10-21T11:56:10.953504236Z,0,-200.0,-0.008773917444496146,-146
2024-10-21T11:56:11.008155483Z,0,-200.0,-1.1336561390101243,10
2024-10-21T11:56:11.008167451Z,0,400.0,1.4428350860128856,100
2024-10-21T11:56:11.038752302Z,-10,-425.0,-0.18695607479866092,-163
2024-10-21T11:56:11.038803026Z,26,436.0,1.444022649086266,-1173
2024-10-21T11:56:14.982879375Z,0,200.0,0.10626188905000887,32
2024-10-21T11:56:14.982891924Z,0,-200.0,-0.529039531538058,8
2024-10-21T11:56:15.036962807Z,0,0.0,0.7126436255619466,1178
2024-10-21T11:56:15.039085832Z,0,0.0,0.0,0
2024-10-21T11:56:15.039203352Z,0,0.0,0.0,17
2024-10-21T11:56:17.922879284Z,0,0.0,0.0,14
2024-10-21T11:56:17.922956219Z,0,0.0,0.0,-186
2024-10-21T11:56:23.203362495Z,0,200.0,0.10626188905000887,-1079
2024-10-21T11:56:23.203374367Z,0,-200.0,-0.529039531538058,120
2024-10-21T11:56:23.230980890Z,0,400.0,1.058079063076116,-499
2024-10-21T11:56:23.259005865Z,0,200.0,0.7214175430064428,140
2024-10-21T11:56:23.260424017Z,-10,-225.0,-0.09103567185947165,-54
2024-10-21T11:56:23.260520532Z,27,237.0,0.7275048964123647,123
2024-10-21T11:56:24.985297090Z,0,-15.0,-0.08153006479182401,-100
2024-10-21T11:56:24.985309618Z,0,400.0,1.058079063076116,-76
2024-10-21T11:56:25.053201827Z,0,0.0,0.7126436255619466,-1107
2024-10-21T11:56:29.970611371Z,0,0.0,0.0,-372
